,Year,Month,WIND SPEED
0,1997,1,-1.4875597
1,1997,2,-2.0799942
2,1997,3,-2.5053387
3,1997,4,-3.6791615
4,1997,5,-4.399117
5,1997,6,-4.663125
6,1997,7,-0.34577322
7,1997,8,-1.2658963
8,1997,9,-1.2067034
9,1997,10,0.64586926
10,1997,11,-0.5795101
11,1997,12,-0.8030578
12,1998,1,1.6660551
13,1998,2,1.8482413
14,1998,3,0.52249384
15,1998,4,0.66924715
16,1998,5,-0.5236864
17,1998,6,1.438858
18,1998,7,-0.01489687
19,1998,8,0.5365639
20,1998,9,0.1358099
21,1998,10,0.27441573
22,1998,11,0.9514828
23,1998,12,1.5994184
24,1999,1,1.4111174
25,1999,2,1.2467372
26,1999,3,0.7692535
27,1999,4,2.1784024
28,1999,5,1.2330294
29,1999,6,-0.20657063
30,1999,7,0.2116952
31,1999,8,-0.3838606
32,1999,9,0.101504326
33,1999,10,-0.4802568
34,1999,11,-0.43113828
35,1999,12,0.4566121
36,2000,1,0.17326117
37,2000,2,-0.15745938
38,2000,3,0.664474
39,2000,4,-1.3065081
40,2000,5,-0.6742096
41,2000,6,-0.47054052
42,2000,7,0.01292181
43,2000,8,0.068865776
44,2000,9,-0.7970953
45,2000,10,0.35035157
46,2000,11,0.6038108
47,2000,12,-1.3399584
48,2001,1,0.34876215
49,2001,2,0.55742383
50,2001,3,0.6298895
51,2001,4,0.3598776
52,2001,5,-0.89203525
53,2001,6,-0.92795515
54,2001,7,0.10150957
55,2001,8,-1.5742571
56,2001,9,-1.2678096
57,2001,10,-0.11719227
58,2001,11,-0.38071775
59,2001,12,0.22193408
60,2002,1,1.1333593
61,2002,2,-0.3007766
62,2002,3,0.8638754
63,2002,4,0.18306851
64,2002,5,-0.56377745
65,2002,6,-0.55662966
66,2002,7,-0.7817669
67,2002,8,0.30584335
68,2002,9,-0.53121424
69,2002,10,0.83175373
70,2002,11,-1.4553618
71,2002,12,0.78012586
72,2003,1,0.59154713
73,2003,2,1.1215763
74,2003,3,0.78800154
75,2003,4,0.33566475
76,2003,5,-0.44191933
77,2003,6,0.17934465
78,2003,7,-0.67034054
79,2003,8,-0.53241396
80,2003,9,-0.9665632
81,2003,10,0.107483864
82,2003,11,0.86201644
83,2003,12,-0.008076906
84,2004,1,0.09890127
85,2004,2,-0.32904804
86,2004,3,1.301945
87,2004,4,0.2886834
88,2004,5,0.38526773
89,2004,6,0.9792614
90,2004,7,0.016701221
91,2004,8,-0.23017645
92,2004,9,0.6836834
93,2004,10,0.75960255
94,2004,11,1.3191538
95,2004,12,0.056284428
96,2005,1,-0.26517367
97,2005,2,-0.7342464
98,2005,3,0.098434925
99,2005,4,0.2487297
100,2005,5,-0.9652796
101,2005,6,1.1004553
102,2005,7,0.37992668
103,2005,8,0.73781204
104,2005,9,1.2155252
105,2005,10,0.17966008
106,2005,11,1.1266875
107,2005,12,-0.8082942
108,2006,1,1.736015
109,2006,2,0.8535013
110,2006,3,1.162859
111,2006,4,-0.4646194
112,2006,5,-0.4787922
113,2006,6,0.30371237
114,2006,7,0.21450853
115,2006,8,1.5571947
116,2006,9,0.60003424
117,2006,10,1.6040554
118,2006,11,1.3414488
119,2006,12,0.029505491
120,2007,1,2.3537807
121,2007,2,1.0984342
122,2007,3,0.79249334
123,2007,4,0.16392851
124,2007,5,0.606071
125,2007,6,-0.23747587
126,2007,7,-1.2439868
127,2007,8,0.14142752
128,2007,9,0.47368765
129,2007,10,0.0023539066
130,2007,11,0.75425816
131,2007,12,1.6387031
132,2008,1,0.8624724
133,2008,2,1.1254478
134,2008,3,1.7579594
135,2008,4,1.3126416
136,2008,5,1.1607294
137,2008,6,0.4920721
138,2008,7,-0.56679773
139,2008,8,-0.25972366
140,2008,9,-0.031971455
141,2008,10,-0.37292552
142,2008,11,-0.17761803
143,2008,12,2.1998377
144,2009,1,0.96718657
145,2009,2,-0.7584572
146,2009,3,1.887619
147,2009,4,0.8971534
148,2009,5,-0.4568653
149,2009,6,-0.2554102
150,2009,7,0.41288233
151,2009,8,-0.41402674
152,2009,9,-0.9929912
153,2009,10,0.29949307
154,2009,11,0.7462647
155,2009,12,-1.1187407
156,2010,1,1.089821
157,2010,2,0.6148951
158,2010,3,1.3843484
159,2010,4,0.2139256
160,2010,5,0.14216614
161,2010,6,0.26986837
162,2010,7,0.7794328
163,2010,8,0.6323447
164,2010,9,-1.2831988
165,2010,10,-1.2404237
166,2010,11,1.1185198
167,2010,12,0.014829159
168,2011,1,0.39873183
169,2011,2,1.2660751
170,2011,3,0.2165277
171,2011,4,0.85252047
172,2011,5,-0.071591854
173,2011,6,0.29475546
174,2011,7,-0.05965948
175,2011,8,0.31941843
176,2011,9,2.3691673
177,2011,10,-0.24388719
178,2011,11,0.45223427
179,2011,12,1.2404606
180,2012,1,0.5069691
181,2012,2,0.83965397
182,2012,3,0.16274261
183,2012,4,-1.3622923
184,2012,5,0.71403694
185,2012,6,-0.18127108
186,2012,7,0.40071392
187,2012,8,-0.031000137
188,2012,9,0.32110023
189,2012,10,-0.5803213
190,2012,11,-0.8360745
191,2012,12,1.1822133
192,2013,1,1.1616629
193,2013,2,2.2864199
194,2013,3,0.008470058
195,2013,4,1.0245981
196,2013,5,-0.23995972
197,2013,6,-0.7324922
198,2013,7,0.7999306
199,2013,8,-1.6152384
200,2013,9,-0.607121
201,2013,10,0.94190025
202,2013,11,-0.15369415
203,2013,12,1.8088274
204,2014,1,1.1860272
205,2014,2,-0.40910375
206,2014,3,0.026321888
207,2014,4,-0.13462877
208,2014,5,0.14803886
209,2014,6,1.0579104
210,2014,7,-0.6126895
211,2014,8,0.23089266
212,2014,9,-0.8132291
213,2014,10,-1.1754472
214,2014,11,-1.1210736
215,2014,12,-1.1211708
216,2015,1,-1.2611488
217,2015,2,-0.53779435
218,2015,3,-0.14153004
219,2015,4,0.9605684
220,2015,5,1.3507581
221,2015,6,0.7649436
222,2015,7,-0.42168522
223,2015,8,-0.16109085
224,2015,9,-0.07327986
225,2015,10,-0.6053014
226,2015,11,2.27408
227,2015,12,1.7785783
228,2016,1,0.91545594
229,2016,2,-0.92637944
230,2016,3,1.5864043
231,2016,4,-1.4218366
232,2016,5,1.4068851
233,2016,6,-0.62144804
234,2016,7,0.89711046
235,2016,8,1.474153
236,2016,9,1.8879294
237,2016,10,-1.1281171
238,2016,11,0.16261816
239,2016,12,1.2320256
240,2017,1,0.057976246
241,2017,2,0.2623639
242,2017,3,0.5966902
243,2017,4,-0.6856756
244,2017,5,1.2389512
245,2017,6,0.25276756
246,2017,7,0.21535778
247,2017,8,0.71491337
248,2017,9,0.34045982
249,2017,10,1.9889593
250,2017,11,-0.32119727
251,2017,12,-0.0011236668
252,2018,1,0.122593164
253,2018,2,3.7871785
254,2018,3,-0.37389278
255,2018,4,-0.040433884
256,2018,5,0.5132222
257,2018,6,0.95501566
258,2018,7,0.5328512
259,2018,8,0.482759
260,2018,9,0.29905367
261,2018,10,0.21684003
262,2018,11,-0.06530523
263,2018,12,0.0077705383
264,2019,1,-0.4841318
265,2019,2,2.4968576
266,2019,3,-0.93106055
267,2019,4,0.7474041
268,2019,5,1.212614
269,2019,6,1.0368247
270,2019,7,-0.0405097
271,2019,8,-0.2799344
272,2019,9,0.58137655
